algorithm,workload_type,run_id,avg_waiting_time,avg_turnaround_time,avg_response_time,throughput,cpu_utilization,fairness_index,context_switches
FCFS,mixed,2,62.9,76.8,62.9,0.14285714285714285,0.9928571428571429,0.42224736858235445,0
RR,mixed,2,59.266666666666666,73.16666666666667,9.3,0.14354066985645933,0.9976076555023924,0.6409413773068375,188
MLFQ,mixed,2,49.766666666666666,74.23333333333333,3.7333333333333334,0.14218009478672985,0.9881516587677726,0.6789582392615978,136
FCFS,random,2,156.5,183.6,156.5,0.07058823529411765,0.9564705882352941,0.47908132794513564,0
RR,random,2,245.66666666666666,272.76666666666665,10.566666666666666,0.07317073170731707,0.9914634146341463,0.38920918007474287,380
MLFQ,random,2,236.1,275.03333333333336,5.1,0.07334963325183375,0.9938875305623472,0.3878500267526857,365
FCFS,cpu_heavy,3,202.43333333333334,237.83333333333334,202.43333333333334,0.055970149253731345,0.9906716417910447,0.5135478282702721,0
RR,cpu_heavy,3,362.1666666666667,397.56666666666666,12.6,0.055865921787709494,0.9888268156424581,0.9679362015516579,505
MLFQ,cpu_heavy,3,354.8333333333333,405.03333333333336,5.0,0.055658627087198514,0.9851576994434137,0.9903950426023245,481
FCFS,io_heavy,3,18.166666666666668,22.933333333333334,18.166666666666668,0.4,0.9533333333333334,0.5494826413114765,0
RR,io_heavy,3,24.133333333333333,28.9,7.966666666666667,0.40540540540540543,0.9662162162162162,0.6244657911390272,50
MLFQ,io_heavy,3,16.5,30.433333333333334,3.1,0.40540540540540543,0.9662162162162162,0.5309414908422753,50
FCFS,mixed,3,103.26666666666667,118.06666666666666,103.26666666666667,0.13274336283185842,0.9823008849557522,0.310521645800993,0
RR,mixed,3,72.8,87.6,9.433333333333334,0.13215859030837004,0.9779735682819384,0.780410097825976,196
MLFQ,mixed,3,60.56666666666667,85.8,3.566666666666667,0.13452914798206278,0.9955156950672646,0.744562657701871,154
FCFS,random,3,162.66666666666666,188.56666666666666,162.66666666666666,0.0759493670886076,0.9835443037974684,0.48439501621353365,0
RR,random,3,197.83333333333334,223.73333333333332,11.2,0.07633587786259542,0.9885496183206107,0.6324782447786371,365
MLFQ,random,3,188.96666666666667,227.1,4.333333333333333,0.07633587786259542,0.9885496183206107,0.8804332526574443,344
FCFS,cpu_heavy,4,175.46666666666667,208.26666666666668,175.46666666666667,0.06012024048096192,0.9859719438877755,0.5315657642354239,0
RR,cpu_heavy,4,309.3,342.1,12.6,0.060362173038229376,0.9899396378269618,0.9616936907394893,463
MLFQ,cpu_heavy,4,302.1666666666667,349.53333333333336,5.0,0.060362173038229376,0.9899396378269618,0.9815623091271511,436
FCFS,io_heavy,4,14.1,18.266666666666666,14.1,0.45454545454545453,0.946969696969697,0.5870357890105583,0
RR,io_heavy,4,19.3,23.466666666666665,6.866666666666666,0.46153846153846156,0.9615384615384616,0.6008228792170839,40
MLFQ,io_heavy,4,12.333333333333334,25.666666666666668,2.433333333333333,0.46153846153846156,0.9615384615384616,0.499433746966456,40
FCFS,mixed,4,82.73333333333333,95.5,82.73333333333333,0.15463917525773196,0.9871134020618557,0.36560141628689863,0
RR,mixed,4,64.63333333333334,77.4,11.3,0.15384615384615385,0.982051282051282,0.8356178108756236,167
MLFQ,mixed,4,51.8,79.03333333333333,5.5,0.15463917525773196,0.9871134020618557,0.885100411631396,129
FCFS,random,4,141.13333333333333,165.93333333333334,141.13333333333333,0.07936507936507936,0.9841269841269841,0.4576480443268902,0
RR,random,4,197.73333333333332,222.53333333333333,11.266666666666667,0.08021390374331551,0.9946524064171123,0.44322046667687975,349
MLFQ,random,4,187.7,225.0,4.966666666666667,0.08021390374331551,0.9946524064171123,0.5611021291679843,325
FCFS,cpu_heavy,5,227.83333333333334,264.56666666666666,227.83333333333334,0.053763440860215055,0.9874551971326165,0.48859614599748435,0
RR,cpu_heavy,5,385.96666666666664,422.7,12.6,0.0539568345323741,0.9910071942446043,0.9721627409684589,526
MLFQ,cpu_heavy,5,378.6,429.53333333333336,5.0,0.0539568345323741,0.9910071942446043,0.9868751249868141,504
FCFS,io_heavy,5,15.5,19.5,15.5,0.4838709677419355,0.967741935483871,0.5562608479363428,0
RR,io_heavy,5,18.333333333333332,22.333333333333332,7.233333333333333,0.4838709677419355,0.967741935483871,0.6084701185721165,37
MLFQ,io_heavy,5,10.233333333333333,23.433333333333334,2.8,0.4838709677419355,0.967741935483871,0.5413170495012468,36
FCFS,mixed,5,61.3,75.46666666666667,61.3,0.13953488372093023,0.9883720930232558,0.48085460800997887,0
RR,mixed,5,55.6,69.76666666666667,8.3,0.13953488372093023,0.9883720930232558,0.7353402240776515,186
MLFQ,mixed,5,44.56666666666667,69.4,3.7333333333333334,0.13761467889908258,0.9747706422018348,0.6456558505720374,132
FCFS,random,5,150.16666666666666,174.93333333333334,150.16666666666666,0.07672634271099744,0.9501278772378516,0.44666960606208117,0
