algorithm,workload_type,run_id,avg_waiting_time,avg_turnaround_time,avg_response_time,throughput,cpu_utilization,fairness_index,context_switches
PPO,io_heavy,4,18.9,23.066666666666666,4.1,0.46153846153846156,0.9615384615384616,0.8228014744602422,78
Hybrid,io_heavy,4,16.633333333333333,20.8,4.1,0.46875,0.9765625,0.8228014744602422,69
PPO,mixed,4,40.766666666666666,53.53333333333333,9.933333333333334,0.15625,0.9973958333333334,0.480931772728763,95
Hybrid,mixed,4,41.0,53.6,11.9,0.15625,0.9973958333333334,0.480931772728763,192
PPO,random,4,139.96666666666667,164.76666666666668,28.966666666666665,0.0759493670886076,0.9417721518987342,0.7542184434270766,414
Hybrid,random,4,142.6,167.23333333333332,46.233333333333334,0.08021390374331551,0.9946524064171123,0.7542184434270766,503
PPO,cpu_heavy,5,309.8,345.8666666666667,26.466666666666665,0.0539568345323741,0.9910071942446043,0.9403487579755931,699
Hybrid,cpu_heavy,5,272.96666666666664,309.53333333333336,45.166666666666664,0.0539568345323741,0.9910071942446043,0.9403487579755931,851
PPO,io_heavy,5,18.2,22.133333333333333,4.166666666666667,0.4838709677419355,0.967741935483871,0.7643312101910829,71
Hybrid,io_heavy,5,16.133333333333333,20.033333333333335,5.033333333333333,0.4838709677419355,0.967741935483871,0.7643312101910829,59
PPO,mixed,5,35.86666666666667,49.43333333333333,17.2,0.14084507042253522,0.9976525821596244,0.4388682362660058,53
Hybrid,mixed,5,40.166666666666664,53.63333333333333,19.666666666666668,0.14084507042253522,0.9976525821596244,0.4388682362660058,219
PPO,random,5,131.8,155.86666666666667,37.0,0.0797872340425532,0.988031914893617,0.706532283867665,326
Hybrid,random,5,127.26666666666667,151.93333333333334,36.833333333333336,0.0797872340425532,0.988031914893617,0.706532283867665,524
PPO,cpu_heavy,6,287.1666666666667,322.8333333333333,15.0,0.05514705882352941,0.9917279411764706,0.9405955872254135,681
Hybrid,cpu_heavy,6,291.3333333333333,326.93333333333334,46.56666666666667,0.05514705882352941,0.9917279411764706,0.9405955872254135,843
PPO,io_heavy,6,21.5,25.933333333333334,4.9,0.4411764705882353,0.9779411764705882,0.7789079700572435,82
Hybrid,io_heavy,6,19.7,24.133333333333333,4.533333333333333,0.42857142857142855,0.95,0.7789079700572435,84
PPO,mixed,6,37.86666666666667,50.833333333333336,13.333333333333334,0.1477832512315271,0.9852216748768473,0.4420866489832007,97
Hybrid,mixed,6,37.0,50.13333333333333,19.9,0.1477832512315271,0.9852216748768473,0.4420866489832007,142
PPO,random,6,156.76666666666668,182.8,40.1,0.07444168734491315,0.9875930521091811,0.7633559828442003,395
Hybrid,random,6,165.66666666666666,192.16666666666666,49.166666666666664,0.07444168734491315,0.9875930521091811,0.7633559828442003,560
PPO,cpu_heavy,7,231.13333333333333,262.6,39.06666666666667,0.06224066390041494,0.9896265560165975,0.9180294135447558,556
Hybrid,cpu_heavy,7,238.96666666666667,270.26666666666665,26.766666666666666,0.06224066390041494,0.9896265560165975,0.9180294135447558,723
PPO,io_heavy,7,10.833333333333334,14.333333333333334,3.3666666666666667,0.5555555555555556,0.9722222222222222,0.7108317214700194,63
Hybrid,io_heavy,7,10.8,14.266666666666667,2.466666666666667,0.5555555555555556,0.9722222222222222,0.7108317214700194,53
PPO,mixed,7,39.166666666666664,51.666666666666664,14.533333333333333,0.15,0.9925,0.4341486929454866,110
Hybrid,mixed,7,44.63333333333333,57.7,17.0,0.15,0.9925,0.4341486929454866,172
PPO,random,7,114.56666666666666,135.73333333333332,34.13333333333333,0.0911854103343465,0.9893617021276596,0.6807720109874222,314
Hybrid,random,7,109.7,131.3,29.466666666666665,0.0911854103343465,0.9893617021276596,0.6807720109874222,452
PPO,cpu_heavy,8,267.2,299.5,16.333333333333332,0.06109979633401222,0.9867617107942973,0.9407766990291262,699
Hybrid,cpu_heavy,8,232.86666666666667,265.03333333333336,39.6,0.06134969325153374,0.99079754601227,0.9407766990291262,705
PPO,io_heavy,8,23.133333333333333,28.033333333333335,4.766666666666667,0.4,0.98,0.803010033444816,95
Hybrid,io_heavy,8,22.033333333333335,26.933333333333334,5.1,0.4,0.98,0.803010033444816,95
PPO,mixed,8,38.43333333333333,50.666666666666664,17.7,0.16042780748663102,0.9919786096256684,0.47470598379030865,102
Hybrid,mixed,8,39.833333333333336,51.9,11.6,0.16042780748663102,0.9919786096256684,0.47470598379030865,199
PPO,random,8,79.63333333333334,96.76666666666667,14.833333333333334,0.11194029850746269,0.9925373134328358,0.6556034283066945,232
Hybrid,random,8,75.66666666666667,93.4,26.233333333333334,0.11152416356877323,0.9888475836431226,0.6556034283066945,306
PPO,cpu_heavy,9,271.73333333333335,306.6,65.9,0.055658627087198514,0.9907235621521335,0.9428358875167386,611
Hybrid,cpu_heavy,9,284.0,319.1,45.2,0.055658627087198514,0.9907235621521335,0.9428358875167386,863
PPO,io_heavy,9,20.5,24.733333333333334,5.066666666666666,0.45454545454545453,0.9696969696969697,0.7846743295019157,79
Hybrid,io_heavy,9,19.5,23.7,6.033333333333333,0.45454545454545453,0.9696969696969697,0.7846743295019157,71
PPO,mixed,9,36.766666666666666,50.233333333333334,13.633333333333333,0.1477832512315271,0.9950738916256158,0.45383160938716494,112
Hybrid,mixed,9,37.13333333333333,50.333333333333336,11.466666666666667,0.1477832512315271,0.9950738916256158,0.45383160938716494,202
PPO,random,9,157.6,183.9,30.566666666666666,0.07352941176470588,0.9950980392156863,0.7490842990229494,478
Hybrid,random,9,162.5,189.3,49.333333333333336,0.07352941176470588,0.9950980392156863,0.7490842990229494,612
